NAME,STUSAB,SUMLEV,REGION,DIVISION,STATE,COUNTY,AREALAND,AREAWATR,POP100,HU100,INTPTLAT,INTPTLON,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010047,P0010063,P0010070,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020028,P0020049,P0020065,P0020072,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030026,P0030047,P0030063,P0030070,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040028,P0040049,P0040065,P0040072,H0010001,H0010002,H0010003,,,,,,,,,,,,
Crenshaw County,AL,50.00,3.00,6.00,1.00,41.00,1576888006.00,5376392.00,13906.00,6735.00,+31.7328256,-86.32,13906.00,13704.00,10097.00,3254.00,57.00,189.00,8.00,99.00,202.00,197.00,84.00,80.00,7.00,0.00,7.00,9.00,4.00,0.00,1.00,1.00,0.00,2.00,0.00,2.00,0.00,4.00,1.00,0.00,0.00,13906.00,204.00,13702.00,13509.00,10020.00,3241.00,56.00,189.00,1.00,2.00,193.00,188.00,4.00,1.00,0.00,0.00,10598.00,10499.00,7835.00,2405.00,44.00,135.00,5.00,75.00,99.00,96.00,3.00,0.00,0.00,0.00,10598.00,149.00,10449.00,10356.00,7781.00,2395.00,43.00,135.00,1.00,1.00,93.00,90.00,3.00,0.00,0.00,0.00,6735.00,5652.00,1083.00,,,,,,,,,,,,
Cullman County,AL,50.00,3.00,6.00,1.00,43.00,1903228333.00,52266921.00,80406.00,37054.00,+34.1319229,-86.87,80406.00,79517.00,76133.00,856.00,408.00,343.00,18.00,1759.00,889.00,860.00,150.00,495.00,69.00,20.00,102.00,4.00,1.00,1.00,4.00,3.00,1.00,1.00,1.00,1.00,7.00,26.00,2.00,1.00,0.00,80406.00,3454.00,76952.00,76184.00,74568.00,821.00,397.00,339.00,18.00,41.00,768.00,747.00,19.00,1.00,1.00,0.00,61765.00,61205.00,58901.00,655.00,320.00,257.00,17.00,1055.00,560.00,538.00,20.00,1.00,1.00,0.00,61765.00,2079.00,59686.00,59176.00,57953.00,630.00,309.00,256.00,17.00,11.00,510.00,493.00,15.00,1.00,1.00,0.00,37054.00,31864.00,5190.00,,,,,,,,,,,,
Dale County,AL,50.00,3.00,6.00,1.00,45.00,1453371157.00,4016457.00,50251.00,22677.00,+31.4306536,-85.61,50251.00,48746.00,37236.00,9679.00,371.00,534.00,44.00,882.00,1505.00,1369.00,453.00,361.00,241.00,17.00,127.00,67.00,22.00,9.00,32.00,7.00,0.00,2.00,16.00,7.00,8.00,129.00,4.00,3.00,0.00,50251.00,2821.00,47430.00,46223.00,35705.00,9546.00,337.00,527.00,42.00,66.00,1207.00,1112.00,92.00,3.00,0.00,0.00,37774.00,37040.00,28954.00,6743.00,283.00,453.00,37.00,570.00,734.00,666.00,62.00,3.00,3.00,0.00,37774.00,1756.00,36018.00,35421.00,27980.00,6662.00,266.00,447.00,35.00,31.00,597.00,551.00,44.00,2.00,0.00,0.00,22677.00,20065.00,2612.00,,,,,,,,,,,,
Dallas County,AL,50.00,3.00,6.00,1.00,47.00,2534807386.00,39134826.00,43820.00,20208.00,+32.3335397,-87.11,43820.00,43521.00,12769.00,30423.00,85.00,149.00,11.00,84.00,299.00,271.00,133.00,34.00,7.00,2.00,7.00,31.00,17.00,19.00,20.00,1.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,1.00,0.00,43820.00,309.00,43511.00,43233.00,12676.00,30314.00,78.00,144.00,6.00,15.00,278.00,254.00,24.00,0.00,0.00,0.00,32225.00,32074.00,10506.00,21322.00,70.00,118.00,11.00,47.00,151.00,134.00,16.00,0.00,1.00,0.00,32225.00,209.00,32016.00,31875.00,10444.00,21242.00,63.00,115.00,6.00,5.00,141.00,125.00,16.00,0.00,0.00,0.00,20208.00,17064.00,3144.00,,,,,,,,,,,,
DeKalb County,AL,50.00,3.00,6.00,1.00,49.00,2012662359.00,4123588.00,71109.00,31109.00,+34.4609290,-85.80,71109.00,69535.00,60087.00,1078.00,969.00,203.00,147.00,7051.00,1574.00,1521.00,192.00,969.00,67.00,19.00,199.00,3.00,2.00,0.00,9.00,5.00,6.00,18.00,5.00,11.00,16.00,52.00,1.00,0.00,0.00,71109.00,9690.00,61419.00,60133.00,57997.00,1029.00,865.00,166.00,35.00,41.00,1286.00,1241.00,44.00,1.00,0.00,0.00,52743.00,51765.00,46173.00,796.00,660.00,144.00,83.00,3909.00,978.00,947.00,30.00,1.00,0.00,0.00,52743.00,5286.00,47457.00,46605.00,45072.00,774.00,601.00,128.00,19.00,11.00,852.00,825.00,26.00,1.00,0.00,0.00,31109.00,26842.00,4267.00,,,,,,,,,,,,
Elmore County,AL,50.00,3.00,6.00,1.00,51.00,1601867593.00,99862541.00,79303.00,32657.00,+32.5972286,-86.14,79303.00,78159.00,60455.00,15900.00,285.00,518.00,63.00,938.00,1144.00,1084.00,339.00,322.00,196.00,20.00,93.00,41.00,14.00,7.00,23.00,0.00,0.00,5.00,8.00,9.00,7.00,59.00,0.00,1.00,0.00,79303.00,2129.00,77174.00,76170.00,59449.00,15814.00,269.00,514.00,50.00,74.00,1004.00,956.00,47.00,0.00,1.00,0.00,60596.00,59988.00,46838.00,11866.00,227.00,402.00,42.00,613.00,608.00,575.00,32.00,0.00,1.00,0.00,60596.00,1422.00,59174.00,58644.00,46153.00,11809.00,214.00,399.00,37.00,32.00,530.00,502.00,27.00,0.00,1.00,0.00,32657.00,28301.00,4356.00,,,,,,,,,,,,
Escambia County,AL,50.00,3.00,6.00,1.00,53.00,2447746932.00,20873208.00,38319.00,16486.00,+31.1217475,-87.17,38319.00,37739.00,23784.00,12220.00,1288.00,92.00,12.00,343.00,580.00,564.00,158.00,265.00,36.00,6.00,19.00,41.00,11.00,3.00,10.00,4.00,3.00,4.00,0.00,3.00,1.00,16.00,0.00,0.00,0.00,38319.00,718.00,37601.00,37062.00,23508.00,12162.00,1274.00,86.00,12.00,20.00,539.00,523.00,16.00,0.00,0.00,0.00,29640.00,29351.00,18870.00,9203.00,957.00,71.00,7.00,243.00,289.00,279.00,10.00,0.00,0.00,0.00,29640.00,493.00,29147.00,28878.00,18688.00,9163.00,946.00,65.00,7.00,9.00,269.00,259.00,10.00,0.00,0.00,0.00,16486.00,14157.00,2329.00,,,,,,,,,,,,
Etowah County,AL,50.00,3.00,6.00,1.00,55.00,1385618994.00,35322991.00,104430.00,47454.00,+34.0476377,-86.03,104430.00,102885.00,83823.00,15796.00,448.00,672.00,171.00,1975.00,1545.00,1487.00,544.00,549.00,111.00,25.00,140.00,25.00,20.00,6.00,36.00,4.00,0.00,10.00,2.00,13.00,2.00,58.00,0.00,0.00,0.00,104430.00,3447.00,100983.00,99651.00,82789.00,15716.00,372.00,657.00,30.00,87.00,1332.00,1286.00,46.00,0.00,0.00,0.00,80444.00,79646.00,66048.00,11493.00,346.00,499.00,97.00,1163.00,798.00,764.00,34.00,0.00,0.00,0.00,80444.00,2011.00,78433.00,77733.00,65421.00,11454.00,311.00,487.00,21.00,39.00,700.00,673.00,27.00,0.00,0.00,0.00,47454.00,42036.00,5418.00,,,,,,,,,,,,
Fayette County,AL,50.00,3.00,6.00,1.00,57.00,1625631609.00,4392821.00,17241.00,8437.00,+33.7322485,-87.75,17241.00,17070.00,14910.00,1969.00,52.00,37.00,0.00,102.00,171.00,169.00,82.00,58.00,7.00,2.00,17.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,17241.00,204.00,17037.00,16885.00,14832.00,1958.00,47.00,37.00,0.00,11.00,152.00,151.00,1.00,0.00,0.00,0.00,13404.00,13314.00,11673.00,1507.00,44.00,27.00,0.00,63.00,90.00,88.00,2.00,0.00,0.00,0.00,13404.00,131.00,13273.00,13194.00,11622.00,1500.00,41.00,27.00,0.00,4.00,79.00,78.00,1.00,0.00,0.00,0.00,8437.00,7100.00,1337.00,,,,,,,,,,,,
Franklin County,AL,50.00,3.00,6.00,1.00,59.00,1641587713.00,32897905.00,31704.00,14022.00,+34.4419884,-87.84,31704.00,31174.00,26320.00,1228.00,215.00,63.00,10.00,3338.00,530.00,516.00,122.00,178.00,18.00,4.00,153.00,3.00,4.00,0.00,13.00,0.00,0.00,18.00,0.00,3.00,0.00,13.00,0.00,1.00,0.00,31704.00,4710.00,26994.00,26666.00,25249.00,1211.00,121.00,51.00,2.00,32.00,328.00,319.00,8.00,0.00,1.00,0.00,23837.00,23562.00,20401.00,925.00,147.00,45.00,10.00,2034.00,275.00,266.00,8.00,0.00,1.00,0.00,23837.00,2799.00,21038.00,20858.00,19800.00,916.00,90.00,40.00,2.00,10.00,180.00,174.00,5.00,0.00,1.00,0.00,14022.00,12286.00,1736.00,,,,,,,,,,,,
