NAME,STUSAB,SUMLEV,REGION,DIVISION,STATE,COUNTY,AREALAND,AREAWATR,POP100,HU100,INTPTLAT,INTPTLON,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010047,P0010063,P0010070,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020028,P0020049,P0020065,P0020072,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030026,P0030047,P0030063,P0030070,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040028,P0040049,P0040065,P0040072,H0010001,H0010002,H0010003,,,,,,,,,,,,
Sandoval County,NM,50.00,4.00,8.00,35.00,43.00,9610539961.00,13708090.00,131561.00,52287.00,+35.6850734,-106.88,131561.00,126457.00,89482.00,2800.00,16945.00,1922.00,169.00,15139.00,5104.00,4711.00,590.00,1057.00,658.00,101.00,1568.00,125.00,41.00,2.00,156.00,41.00,16.00,210.00,34.00,97.00,15.00,368.00,23.00,2.00,0.00,131561.00,46129.00,85432.00,83086.00,62445.00,2462.00,16006.00,1763.00,135.00,275.00,2346.00,2161.00,175.00,9.00,1.00,0.00,96402.00,93878.00,68428.00,1980.00,11403.00,1455.00,115.00,10497.00,2524.00,2349.00,163.00,11.00,1.00,0.00,96402.00,30476.00,65926.00,64742.00,50406.00,1833.00,10862.00,1360.00,97.00,184.00,1184.00,1088.00,92.00,3.00,1.00,0.00,52287.00,47602.00,4685.00,,,,,,,,,,,,
San Juan County,NM,50.00,4.00,8.00,35.00,45.00,14278776370.00,65673845.00,130044.00,49341.00,+36.5116245,-108.32,130044.00,125503.00,67048.00,756.00,47640.00,484.00,74.00,9501.00,4541.00,4295.00,226.00,1907.00,221.00,33.00,1195.00,216.00,1.00,1.00,42.00,58.00,27.00,330.00,10.00,21.00,7.00,237.00,6.00,3.00,0.00,130044.00,24776.00,105268.00,102818.00,55254.00,617.00,46321.00,445.00,64.00,117.00,2450.00,2345.00,100.00,3.00,2.00,0.00,92393.00,90301.00,50739.00,512.00,32299.00,392.00,50.00,6309.00,2092.00,2003.00,83.00,3.00,3.00,0.00,92393.00,15238.00,77155.00,75990.00,43376.00,443.00,31690.00,362.00,42.00,77.00,1165.00,1121.00,40.00,2.00,2.00,0.00,49341.00,44404.00,4937.00,,,,,,,,,,,,
San Miguel County,NM,50.00,4.00,8.00,35.00,47.00,12213918594.00,51380222.00,29393.00,15595.00,+35.4768758,-104.80,29393.00,28246.00,19583.00,412.00,508.00,228.00,37.00,7478.00,1147.00,1097.00,49.00,251.00,54.00,8.00,574.00,10.00,9.00,0.00,35.00,2.00,0.00,67.00,4.00,24.00,10.00,49.00,1.00,0.00,0.00,29393.00,22583.00,6810.00,6595.00,5781.00,339.00,226.00,175.00,22.00,52.00,215.00,201.00,13.00,1.00,0.00,0.00,22931.00,22106.00,15548.00,335.00,402.00,182.00,34.00,5605.00,825.00,790.00,34.00,1.00,0.00,0.00,22931.00,16983.00,5948.00,5789.00,5080.00,303.00,190.00,145.00,22.00,49.00,159.00,147.00,11.00,1.00,0.00,0.00,15595.00,11978.00,3617.00,,,,,,,,,,,,
Santa Fe County,NM,50.00,4.00,8.00,35.00,49.00,4945359181.00,3774631.00,144170.00,71267.00,+35.5137223,-105.97,144170.00,139035.00,109800.00,1239.00,4486.00,1672.00,108.00,21730.00,5135.00,4822.00,349.00,1078.00,480.00,38.00,2222.00,64.00,24.00,0.00,65.00,30.00,9.00,315.00,19.00,71.00,58.00,257.00,31.00,20.00,5.00,144170.00,73015.00,71155.00,69472.00,63291.00,947.00,3271.00,1569.00,59.00,335.00,1683.00,1534.00,121.00,14.00,12.00,2.00,113934.00,110525.00,89407.00,971.00,3223.00,1342.00,79.00,15503.00,3409.00,3213.00,163.00,14.00,16.00,3.00,113934.00,52100.00,61834.00,60702.00,55940.00,790.00,2418.00,1269.00,44.00,241.00,1132.00,1028.00,87.00,6.00,10.00,1.00,71267.00,61963.00,9304.00,,,,,,,,,,,,
Sierra County,NM,50.00,4.00,8.00,35.00,51.00,10823447042.00,148324021.00,11988.00,8356.00,+33.1194790,-107.19,11988.00,11597.00,10265.00,49.00,199.00,49.00,3.00,1032.00,391.00,357.00,9.00,195.00,26.00,3.00,89.00,8.00,0.00,0.00,0.00,0.00,1.00,24.00,1.00,1.00,0.00,28.00,6.00,0.00,0.00,11988.00,3352.00,8636.00,8444.00,8205.00,44.00,130.00,49.00,2.00,14.00,192.00,179.00,8.00,5.00,0.00,0.00,10060.00,9781.00,8830.00,36.00,167.00,47.00,3.00,698.00,279.00,260.00,15.00,4.00,0.00,0.00,10060.00,2339.00,7721.00,7562.00,7364.00,34.00,109.00,47.00,2.00,6.00,159.00,148.00,8.00,3.00,0.00,0.00,8356.00,5917.00,2439.00,,,,,,,,,,,,
Socorro County,NM,50.00,4.00,8.00,35.00,53.00,17214817782.00,5360180.00,17866.00,8059.00,+33.9916142,-106.94,17866.00,17363.00,13424.00,188.00,2082.00,219.00,8.00,1442.00,503.00,471.00,31.00,156.00,60.00,5.00,169.00,10.00,3.00,3.00,5.00,0.00,0.00,11.00,1.00,14.00,3.00,32.00,0.00,0.00,0.00,17866.00,8664.00,9202.00,9005.00,6711.00,142.00,1890.00,208.00,4.00,50.00,197.00,183.00,14.00,0.00,0.00,0.00,13596.00,13275.00,10597.00,124.00,1317.00,179.00,6.00,1052.00,321.00,297.00,24.00,0.00,0.00,0.00,13596.00,6170.00,7426.00,7289.00,5767.00,107.00,1208.00,173.00,2.00,32.00,137.00,124.00,13.00,0.00,0.00,0.00,8059.00,7014.00,1045.00,,,,,,,,,,,,
Taos County,NM,50.00,4.00,8.00,35.00,55.00,5706029510.00,3385868.00,32937.00,20265.00,+36.5765287,-105.64,32937.00,31338.00,22639.00,143.00,2031.00,219.00,10.00,6296.00,1599.00,1489.00,53.00,385.00,74.00,15.00,728.00,18.00,3.00,0.00,14.00,8.00,1.00,147.00,2.00,35.00,6.00,107.00,1.00,2.00,0.00,32937.00,18381.00,14556.00,14100.00,11958.00,104.00,1747.00,201.00,5.00,85.00,456.00,417.00,39.00,0.00,0.00,0.00,26155.00,25061.00,18505.00,114.00,1505.00,193.00,9.00,4735.00,1094.00,1030.00,63.00,0.00,1.00,0.00,26155.00,13605.00,12550.00,12245.00,10565.00,87.00,1336.00,180.00,5.00,72.00,305.00,282.00,23.00,0.00,0.00,0.00,20265.00,14806.00,5459.00,,,,,,,,,,,,
Torrance County,NM,50.00,4.00,8.00,35.00,57.00,8663108604.00,2301144.00,16383.00,7798.00,+34.6346444,-105.85,16383.00,15676.00,12460.00,219.00,383.00,71.00,8.00,2535.00,707.00,673.00,87.00,175.00,28.00,2.00,274.00,4.00,2.00,0.00,22.00,11.00,2.00,44.00,6.00,2.00,14.00,32.00,2.00,0.00,0.00,16383.00,6399.00,9984.00,9711.00,9173.00,172.00,274.00,61.00,7.00,24.00,273.00,266.00,7.00,0.00,0.00,0.00,12432.00,12029.00,9744.00,165.00,298.00,50.00,6.00,1766.00,403.00,378.00,25.00,0.00,0.00,0.00,12432.00,4355.00,8077.00,7916.00,7496.00,139.00,220.00,42.00,5.00,14.00,161.00,157.00,4.00,0.00,0.00,0.00,7798.00,6264.00,1534.00,,,,,,,,,,,,
Union County,NM,50.00,4.00,8.00,35.00,59.00,9903449966.00,18468287.00,4549.00,2305.00,+36.4880853,-103.48,4549.00,4443.00,3718.00,80.00,89.00,23.00,1.00,532.00,106.00,96.00,16.00,30.00,2.00,0.00,38.00,0.00,1.00,0.00,1.00,2.00,0.00,5.00,0.00,1.00,0.00,10.00,0.00,0.00,0.00,4549.00,1805.00,2744.00,2701.00,2549.00,74.00,50.00,22.00,1.00,5.00,43.00,40.00,3.00,0.00,0.00,0.00,3619.00,3547.00,2999.00,73.00,75.00,23.00,0.00,377.00,72.00,68.00,4.00,0.00,0.00,0.00,3619.00,1371.00,2248.00,2215.00,2073.00,69.00,46.00,22.00,0.00,5.00,33.00,32.00,1.00,0.00,0.00,0.00,2305.00,1695.00,610.00,,,,,,,,,,,,
Valencia County,NM,50.00,4.00,8.00,35.00,61.00,2761380350.00,5489464.00,76569.00,30085.00,+34.7168404,-106.81,76569.00,73520.00,56027.00,1071.00,2915.00,406.00,55.00,13046.00,3049.00,2856.00,202.00,591.00,204.00,32.00,1441.00,43.00,9.00,2.00,76.00,14.00,0.00,145.00,8.00,61.00,28.00,160.00,24.00,9.00,0.00,76569.00,44605.00,31964.00,31158.00,27734.00,839.00,2117.00,314.00,32.00,122.00,806.00,740.00,57.00,7.00,2.00,0.00,56387.00,54599.00,42373.00,795.00,2042.00,315.00,32.00,9042.00,1788.00,1669.00,100.00,11.00,8.00,0.00,56387.00,30385.00,26002.00,25516.00,22897.00,677.00,1571.00,261.00,21.00,89.00,486.00,440.00,41.00,3.00,2.00,0.00,30085.00,27500.00,2585.00,,,,,,,,,,,,
Albany County,NY,50.00,1.00,2.00,36.00,1.00,1354056384.00,27189291.00,304204.00,137739.00,+42.5882713,-73.97,304204.00,296557.00,237873.00,38609.00,654.00,14579.00,98.00,4744.00,7647.00,7096.00,3094.00,844.00,1355.00,51.00,514.00,413.00,126.00,33.00,317.00,38.00,2.00,25.00,62.00,183.00,39.00,499.00,50.00,1.00,1.00,304204.00,14917.00,289287.00,283158.00,231152.00,36396.00,453.00,14500.00,88.00,569.00,6129.00,5750.00,348.00,30.00,0.00,1.00,243573.00,239504.00,197006.00,27495.00,505.00,11041.00,81.00,3376.00,4069.00,3742.00,298.00,28.00,0.00,1.00,243573.00,10024.00,233549.00,230310.00,192347.00,26196.00,375.00,10980.00,71.00,341.00,3239.00,3016.00,204.00,18.00,0.00,1.00,137739.00,126251.00,11488.00,,,,,,,,,,,,
Allegany County,NY,50.00,1.00,2.00,36.00,3.00,2665894548.00,13153777.00,48946.00,26140.00,+42.2478938,-78.03,48946.00,48389.00,47085.00,524.00,113.00,452.00,9.00,206.00,557.00,509.00,154.00,171.00,117.00,4.00,28.00,7.00,3.00,0.00,7.00,1.00,0.00,4.00,1.00,12.00,0.00,43.00,4.00,1.00,0.00,48946.00,670.00,48276.00,47780.00,46701.00,494.00,97.00,451.00,7.00,30.00,496.00,462.00,30.00,3.00,1.00,0.00,38370.00,38026.00,36957.00,465.00,92.00,365.00,7.00,140.00,344.00,305.00,34.00,4.00,1.00,0.00,38370.00,464.00,37906.00,37597.00,36694.00,437.00,80.00,364.00,5.00,17.00,309.00,278.00,27.00,3.00,1.00,0.00,26140.00,18208.00,7932.00,,,,,,,,,,,,
Bronx County,NY,50.00,1.00,2.00,36.00,5.00,109028908.00,39838229.00,1385108.00,511896.00,+40.8487111,-73.85,1385108.00,1311865.00,386497.00,505200.00,18260.00,49609.00,1288.00,351011.00,73243.00,67394.00,11371.00,1308.00,2263.00,250.00,21680.00,4263.00,1881.00,840.00,13357.00,882.00,135.00,3629.00,200.00,2813.00,2522.00,5415.00,370.00,38.00,26.00,1385108.00,741413.00,643695.00,627733.00,151209.00,416695.00,3460.00,47335.00,398.00,8636.00,15962.00,14477.00,1365.00,102.00,12.00,6.00,1016912.00,965637.00,302237.00,368758.00,12337.00,38075.00,934.00,243296.00,51275.00,47007.00,3947.00,272.00,31.00,18.00,1016912.00,520397.00,496515.00,485096.00,130205.00,309709.00,2256.00,36525.00,315.00,6086.00,11419.00,10302.00,1023.00,80.00,11.00,3.00,511896.00,483449.00,28447.00,,,,,,,,,,,,
Broome County,NY,50.00,1.00,2.00,36.00,7.00,1827925580.00,25248569.00,200600.00,90563.00,+42.1619773,-75.83,200600.00,195513.00,176444.00,9614.00,396.00,7065.00,82.00,1912.00,5087.00,4703.00,2181.00,843.00,797.00,55.00,318.00,147.00,68.00,29.00,120.00,18.00,2.00,8.00,26.00,80.00,11.00,354.00,24.00,6.00,0.00,200600.00,6778.00,193822.00,189573.00,173074.00,8850.00,328.00,7019.00,60.00,242.00,4249.00,3956.00,277.00,14.00,2.00,0.00,160041.00,157622.00,143207.00,6679.00,322.00,6003.00,58.00,1353.00,2419.00,2229.00,171.00,15.00,4.00,0.00,160041.00,4334.00,155707.00,153653.00,140967.00,6247.00,277.00,5973.00,42.00,147.00,2054.00,1907.00,137.00,8.00,2.00,0.00,90563.00,82167.00,8396.00,,,,,,,,,,,,
Cattaraugus County,NY,50.00,1.00,2.00,36.00,9.00,3388612085.00,36610366.00,80317.00,41111.00,+42.2448527,-78.68,80317.00,78954.00,74639.00,1024.00,2443.00,528.00,15.00,305.00,1363.00,1293.00,494.00,529.00,109.00,10.00,68.00,35.00,10.00,1.00,3.00,9.00,2.00,11.00,5.00,7.00,0.00,70.00,0.00,0.00,0.00,80317.00,1345.00,78972.00,77750.00,73849.00,966.00,2361.00,524.00,14.00,36.00,1222.00,1175.00,47.00,0.00,0.00,0.00,61516.00,60947.00,57973.00,724.00,1654.00,386.00,11.00,199.00,569.00,546.00,23.00,0.00,0.00,0.00,61516.00,786.00,60730.00,60215.00,57499.00,690.00,1612.00,384.00,11.00,19.00,515.00,498.00,17.00,0.00,0.00,0.00,41111.00,32263.00,8848.00,,,,,,,,,,,,
Cayuga County,NY,50.00,1.00,2.00,36.00,11.00,1791189978.00,445707605.00,80026.00,36489.00,+43.0085456,-76.57,80026.00,78595.00,74042.00,3195.00,283.00,390.00,31.00,654.00,1431.00,1354.00,732.00,329.00,108.00,16.00,75.00,26.00,14.00,4.00,16.00,5.00,0.00,11.00,1.00,11.00,6.00,75.00,1.00,1.00,0.00,80026.00,1896.00,78130.00,76884.00,73098.00,3009.00,252.00,387.00,26.00,112.00,1246.00,1193.00,51.00,1.00,1.00,0.00,62728.00,62182.00,58433.00,2697.00,225.00,288.00,24.00,515.00,546.00,520.00,24.00,1.00,1.00,0.00,62728.00,1341.00,61387.00,60890.00,57752.00,2548.00,204.00,287.00,21.00,78.00,497.00,477.00,18.00,1.00,1.00,0.00,36489.00,31445.00,5044.00,,,,,,,,,,,,
Chautauqua County,NY,50.00,1.00,2.00,36.00,13.00,2745973829.00,1139483300.00,134905.00,66920.00,+42.3042159,-79.41,134905.00,132154.00,124875.00,3197.00,689.00,688.00,36.00,2669.00,2751.00,2572.00,1243.00,595.00,186.00,23.00,338.00,34.00,8.00,3.00,76.00,3.00,0.00,20.00,5.00,23.00,15.00,177.00,2.00,0.00,0.00,134905.00,8241.00,126664.00,124599.00,120463.00,2763.00,576.00,676.00,31.00,90.00,2065.00,1945.00,118.00,2.00,0.00,0.00,105459.00,104336.00,99188.00,2355.00,477.00,533.00,31.00,1752.00,1123.00,1056.00,65.00,2.00,0.00,0.00,105459.00,4991.00,100468.00,99625.00,96515.00,2091.00,420.00,525.00,27.00,47.00,843.00,794.00,47.00,2.00,0.00,0.00,66920.00,54244.00,12676.00,,,,,,,,,,,,
Chemung County,NY,50.00,1.00,2.00,36.00,15.00,1055035677.00,8877179.00,88830.00,38369.00,+42.1552807,-76.75,88830.00,86458.00,78771.00,5828.00,233.00,1057.00,20.00,549.00,2372.00,2220.00,1344.00,399.00,215.00,17.00,114.00,44.00,14.00,0.00,30.00,2.00,0.00,16.00,2.00,18.00,5.00,142.00,9.00,1.00,0.00,88830.00,2240.00,86590.00,84528.00,77643.00,5528.00,206.00,1041.00,14.00,96.00,2062.00,1940.00,115.00,6.00,1.00,0.00,68950.00,68055.00,62147.00,4513.00,184.00,797.00,14.00,400.00,895.00,825.00,64.00,5.00,1.00,0.00,68950.00,1436.00,67514.00,66732.00,61394.00,4319.00,164.00,788.00,11.00,56.00,782.00,720.00,57.00,4.00,1.00,0.00,38369.00,35462.00,2907.00,,,,,,,,,,,,
Chenango County,NY,50.00,1.00,2.00,36.00,17.00,2314279661.00,13161203.00,50477.00,24710.00,+42.4897320,-75.60,50477.00,49828.00,48896.00,345.00,172.00,204.00,6.00,205.00,649.00,615.00,180.00,249.00,94.00,10.00,63.00,6.00,1.00,0.00,5.00,3.00,0.00,0.00,3.00,1.00,0.00,33.00,0.00,1.00,0.00,50477.00,929.00,49548.00,48973.00,48265.00,323.00,151.00,200.00,4.00,30.00,575.00,545.00,29.00,0.00,1.00,0.00,38998.00,38680.00,37994.00,238.00,145.00,164.00,4.00,135.00,318.00,305.00,12.00,0.00,1.00,0.00,38998.00,572.00,38426.00,38128.00,37595.00,221.00,133.00,160.00,4.00,15.00,298.00,285.00,12.00,0.00,1.00,0.00,24710.00,20436.00,4274.00,,,,,,,,,,,,
Clinton County,NY,50.00,1.00,2.00,36.00,19.00,2688025469.00,206355454.00,82128.00,35888.00,+44.7527103,-73.71,82128.00,80949.00,75997.00,3209.00,286.00,898.00,19.00,540.00,1179.00,1089.00,376.00,368.00,186.00,13.00,74.00,19.00,9.00,5.00,15.00,3.00,1.00,2.00,9.00,7.00,2.00,82.00,8.00,0.00,0.00,82128.00,2054.00,80074.00,79068.00,74832.00,2953.00,266.00,890.00,15.00,112.00,1006.00,932.00,66.00,8.00,0.00,0.00,66238.00,65582.00,61117.00,2996.00,251.00,748.00,15.00,455.00,656.00,604.00,46.00,6.00,0.00,0.00,66238.00,1632.00,64606.00,64040.00,60215.00,2750.00,234.00,743.00,14.00,84.00,566.00,525.00,35.00,6.00,0.00,0.00,35888.00,31582.00,4306.00,,,,,,,,,,,,
Columbia County,NY,50.00,1.00,2.00,36.00,21.00,1643879273.00,35121043.00,63096.00,32775.00,+42.2477286,-73.63,63096.00,61817.00,57136.00,2855.00,123.00,1002.00,18.00,683.00,1279.00,1203.00,598.00,256.00,157.00,6.00,91.00,21.00,8.00,2.00,22.00,16.00,0.00,6.00,3.00,11.00,6.00,68.00,8.00,0.00,0.00,63096.00,2454.00,60642.00,59558.00,55672.00,2691.00,85.00,998.00,15.00,97.00,1084.00,1023.00,54.00,7.00,0.00,0.00,50289.00,49726.00,46443.00,2022.00,99.00,720.00,16.00,426.00,563.00,521.00,35.00,7.00,0.00,0.00,50289.00,1533.00,48756.00,48272.00,45481.00,1939.00,74.00,716.00,13.00,49.00,484.00,449.00,29.00,6.00,0.00,0.00,32775.00,25906.00,6869.00,,,,,,,,,,,,
Cortland County,NY,50.00,1.00,2.00,36.00,23.00,1291782573.00,7144297.00,49336.00,20577.00,+42.5938237,-76.08,49336.00,48490.00,46901.00,760.00,137.00,416.00,5.00,271.00,846.00,789.00,302.00,256.00,120.00,7.00,54.00,11.00,5.00,2.00,10.00,5.00,0.00,8.00,2.00,5.00,2.00,50.00,6.00,1.00,0.00,49336.00,1094.00,48242.00,47512.00,46252.00,705.00,126.00,412.00,3.00,14.00,730.00,688.00,41.00,1.00,0.00,0.00,38925.00,38482.00,37233.00,584.00,113.00,330.00,5.00,217.00,443.00,411.00,29.00,2.00,1.00,0.00,38925.00,797.00,38128.00,37752.00,36774.00,536.00,106.00,327.00,3.00,6.00,376.00,352.00,24.00,0.00,0.00,0.00,20577.00,18671.00,1906.00,,,,,,,,,,,,
Delaware County,NY,50.00,1.00,2.00,36.00,25.00,3735902531.00,64765808.00,47980.00,31222.00,+42.1939865,-74.97,47980.00,47358.00,45675.00,779.00,131.00,367.00,12.00,394.00,622.00,565.00,177.00,175.00,89.00,10.00,59.00,21.00,3.00,2.00,11.00,2.00,0.00,4.00,2.00,7.00,3.00,54.00,2.00,1.00,0.00,47980.00,1560.00,46420.00,45899.00,44706.00,691.00,102.00,363.00,6.00,31.00,521.00,472.00,47.00,2.00,0.00,0.00,38575.00,38217.00,36914.00,612.00,100.00,300.00,12.00,279.00,358.00,328.00,27.00,2.00,1.00,0.00,38575.00,1058.00,37517.00,37208.00,36254.00,546.00,83.00,297.00,6.00,22.00,309.00,285.00,22.00,2.00,0.00,0.00,31222.00,19898.00,11324.00,,,,,,,,,,,,
Dutchess County,NY,50.00,1.00,2.00,36.00,27.00,2060671707.00,76968747.00,297488.00,118638.00,+41.7550085,-73.74,297488.00,289688.00,238387.00,29518.00,893.00,10437.00,108.00,10345.00,7800.00,7188.00,2666.00,909.00,1213.00,66.00,1107.00,362.00,161.00,42.00,318.00,27.00,4.00,38.00,33.00,196.00,46.00,571.00,31.00,10.00,0.00,297488.00,31267.00,266221.00,260807.00,221812.00,27395.00,465.00,10330.00,80.00,725.00,5414.00,5047.00,341.00,19.00,7.00,0.00,231519.00,227485.00,189542.00,22154.00,659.00,7798.00,88.00,7244.00,4034.00,3718.00,288.00,21.00,7.00,0.00,231519.00,21311.00,210208.00,207380.00,177973.00,20792.00,364.00,7733.00,72.00,446.00,2828.00,2623.00,189.00,12.00,4.00,0.00,118638.00,107965.00,10673.00,,,,,,,,,,,,
Erie County,NY,50.00,1.00,2.00,36.00,29.00,2700563452.00,476973805.00,919040.00,419974.00,+42.7527590,-78.78,919040.00,902518.00,735244.00,123931.00,5908.00,23789.00,219.00,13427.00,16522.00,15305.00,6215.00,2359.00,2768.00,149.00,1362.00,797.00,279.00,78.00,696.00,82.00,5.00,66.00,82.00,313.00,54.00,1136.00,63.00,12.00,6.00,919040.00,41731.00,877309.00,864080.00,714156.00,119916.00,5199.00,23621.00,165.00,1023.00,13229.00,12358.00,832.00,31.00,3.00,5.00,720096.00,712288.00,592572.00,88146.00,4248.00,18358.00,158.00,8806.00,7808.00,7158.00,608.00,34.00,6.00,2.00,720096.00,26016.00,694080.00,687754.00,579030.00,85872.00,3854.00,18256.00,125.00,617.00,6326.00,5835.00,472.00,15.00,2.00,2.00,419974.00,383164.00,36810.00,,,,,,,,,,,,
Essex County,NY,50.00,1.00,2.00,36.00,31.00,4647029522.00,315977756.00,39370.00,25603.00,+44.1089711,-73.78,39370.00,38891.00,37100.00,1073.00,126.00,263.00,9.00,320.00,479.00,448.00,83.00,205.00,46.00,13.00,59.00,9.00,2.00,3.00,20.00,0.00,0.00,4.00,1.00,2.00,1.00,28.00,2.00,1.00,0.00,39370.00,993.00,38377.00,37970.00,36588.00,982.00,99.00,260.00,8.00,33.00,407.00,382.00,22.00,2.00,1.00,0.00,31784.00,31475.00,29847.00,1036.00,107.00,189.00,7.00,289.00,309.00,287.00,19.00,2.00,1.00,0.00,31784.00,854.00,30930.00,30672.00,29428.00,947.00,83.00,187.00,6.00,21.00,258.00,242.00,13.00,2.00,1.00,0.00,25603.00,16262.00,9341.00,,,,,,,,,,,,
Franklin County,NY,50.00,1.00,2.00,36.00,33.00,4219398044.00,177032265.00,51599.00,25306.00,+44.5943743,-74.31,51599.00,50975.00,43437.00,3127.00,3797.00,219.00,10.00,385.00,624.00,608.00,116.00,352.00,76.00,5.00,26.00,11.00,0.00,0.00,4.00,10.00,2.00,1.00,4.00,1.00,0.00,15.00,1.00,0.00,0.00,51599.00,1506.00,50093.00,49526.00,42640.00,2834.00,3753.00,215.00,8.00,76.00,567.00,558.00,9.00,0.00,0.00,0.00,40879.00,40571.00,34344.00,3079.00,2620.00,171.00,5.00,352.00,308.00,305.00,2.00,1.00,0.00,0.00,40879.00,1284.00,39595.00,39313.00,33695.00,2788.00,2592.00,167.00,3.00,68.00,282.00,280.00,2.00,0.00,0.00,0.00,25306.00,19054.00,6252.00,,,,,,,,,,,,
Fulton County,NY,50.00,1.00,2.00,36.00,35.00,1283258864.00,96893251.00,55531.00,28562.00,+43.1156093,-74.42,55531.00,54754.00,52948.00,1060.00,116.00,321.00,13.00,296.00,777.00,727.00,316.00,214.00,88.00,16.00,59.00,6.00,9.00,5.00,10.00,0.00,0.00,0.00,2.00,1.00,1.00,45.00,4.00,1.00,0.00,55531.00,1263.00,54268.00,53581.00,52110.00,981.00,104.00,320.00,11.00,55.00,687.00,652.00,34.00,0.00,1.00,0.00,43205.00,42838.00,41463.00,826.00,86.00,247.00,9.00,207.00,367.00,345.00,17.00,4.00,1.00,0.00,43205.00,771.00,42434.00,42095.00,40957.00,780.00,76.00,246.00,8.00,28.00,339.00,322.00,16.00,0.00,1.00,0.00,28562.00,22554.00,6008.00,,,,,,,,,,,,
Genesee County,NY,50.00,1.00,2.00,36.00,37.00,1276697637.00,6142600.00,60079.00,25589.00,+43.0009096,-78.19,60079.00,59014.00,55787.00,1612.00,679.00,357.00,4.00,575.00,1065.00,1014.00,518.00,225.00,104.00,7.00,73.00,45.00,2.00,7.00,16.00,8.00,0.00,2.00,4.00,3.00,0.00,46.00,5.00,0.00,0.00,60079.00,1616.00,58463.00,57554.00,54990.00,1491.00,661.00,355.00,2.00,55.00,909.00,869.00,35.00,5.00,0.00,0.00,46820.00,46394.00,43922.00,1236.00,524.00,286.00,3.00,423.00,426.00,399.00,26.00,1.00,0.00,0.00,46820.00,1025.00,45795.00,45426.00,43427.00,1166.00,512.00,284.00,2.00,35.00,369.00,346.00,22.00,1.00,0.00,0.00,25589.00,23728.00,1861.00,,,,,,,,,,,,
Greene County,NY,50.00,1.00,2.00,36.00,39.00,1676140222.00,28201066.00,49221.00,29210.00,+42.2869511,-74.15,49221.00,48372.00,44440.00,2826.00,145.00,391.00,19.00,551.00,849.00,808.00,356.00,202.00,89.00,8.00,77.00,18.00,17.00,3.00,15.00,8.00,1.00,3.00,5.00,4.00,2.00,36.00,5.00,0.00,0.00,49221.00,2419.00,46802.00,46085.00,42857.00,2606.00,122.00,382.00,15.00,103.00,717.00,680.00,34.00,3.00,0.00,0.00,39739.00,39336.00,36058.00,2458.00,119.00,298.00,10.00,393.00,403.00,373.00,27.00,3.00,0.00,0.00,39739.00,1665.00,38074.00,37735.00,34976.00,2279.00,103.00,294.00,8.00,75.00,339.00,312.00,25.00,2.00,0.00,0.00,29210.00,19823.00,9387.00,,,,,,,,,,,,
Hamilton County,NY,50.00,1.00,2.00,36.00,41.00,4447975965.00,234214069.00,4836.00,8694.00,+43.6578786,-74.50,4836.00,4783.00,4705.00,35.00,11.00,24.00,4.00,4.00,53.00,48.00,2.00,39.00,1.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,3.00,2.00,0.00,0.00,4836.00,51.00,4785.00,4737.00,4664.00,33.00,11.00,24.00,4.00,1.00,48.00,46.00,0.00,2.00,0.00,0.00,4041.00,4002.00,3944.00,23.00,11.00,18.00,3.00,3.00,39.00,38.00,1.00,0.00,0.00,0.00,4041.00,38.00,4003.00,3967.00,3912.00,22.00,11.00,18.00,3.00,1.00,36.00,36.00,0.00,0.00,0.00,0.00,8694.00,2262.00,6432.00,,,,,,,,,,,,
Herkimer County,NY,50.00,1.00,2.00,36.00,43.00,3655689412.00,120400469.00,64519.00,33381.00,+43.4616351,-74.89,64519.00,63740.00,62320.00,700.00,157.00,332.00,11.00,220.00,779.00,746.00,333.00,197.00,93.00,3.00,88.00,14.00,3.00,0.00,7.00,3.00,1.00,1.00,2.00,0.00,1.00,31.00,2.00,0.00,0.00,64519.00,1040.00,63479.00,62836.00,61690.00,640.00,137.00,325.00,8.00,36.00,643.00,624.00,17.00,2.00,0.00,0.00,50221.00,49877.00,48809.00,549.00,108.00,245.00,8.00,158.00,344.00,331.00,12.00,1.00,0.00,0.00,50221.00,653.00,49568.00,49286.00,48419.00,503.00,96.00,241.00,7.00,20.00,282.00,273.00,8.00,1.00,0.00,0.00,33381.00,26324.00,7057.00,,,,,,,,,,,,
